,ID,N_DCODE,음식코드명
2682,A627400601,144,잡곡밥
2683,A627446501,144,잡곡밥
2684,A627446501,144,잡곡밥
2685,A627446501,144,잡곡밥
2686,A627446501,144,잡곡밥
2687,A627446501,144,잡곡밥
2688,A627446501,144,잡곡밥
2689,A627446501,144,잡곡밥
2690,A627446501,144,잡곡밥
2691,A627446501,144,잡곡밥
2692,A627446501,144,잡곡밥
2693,A627446501,144,잡곡밥
2694,A627446501,144,잡곡밥
2695,A627446501,144,잡곡밥
2696,A627446501,144,잡곡밥
2697,A627446501,144,잡곡밥
2698,A627446502,144,잡곡밥
2699,A627446502,144,잡곡밥
2700,A627446502,144,잡곡밥
2701,A627446502,144,잡곡밥
2702,A627446502,144,잡곡밥
2706,A628186402,144,잡곡밥
2707,A628186402,144,잡곡밥
2708,A628186402,144,잡곡밥
2744,A628363201,144,잡곡밥
2745,A628363201,144,잡곡밥
2746,A628363201,144,잡곡밥
2753,A628402301,144,잡곡밥
